Order,Property Id,DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Latitude,Longitude,Community Board,Council District,Census Tract,time_since_first,Borough_Bronx,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Office,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
13276,5849784,90300.0,77300.0,1950,1,100,126.0,136.8,5.2,1.2,180.9,8301366.5,91955.4,1440057.4,404241.1,574.6,440.9,133.6,77300.0,7684.7,99.41,171.3,,,,,,5608614.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7377,4398442,52000.0,52000.0,1926,1,100,95.4,102.0,4.7,0.9,140.5,4102602.6,44717.4,857854.6,243480.9,297.5,217.9,79.6,52000.0,,,134.6,40.835496,-73.887745,3.0,17.0,161.0,6732754.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9479,4665374,104700.0,105000.0,1954,1,100,40.4,40.0,3.8,0.3,68.9,2843828.1,28438.3,1403160.8,396379.1,281.3,151.0,130.2,105000.0,,,70.4,40.663206,-73.949469,9.0,40.0,329.0,5347294.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14774,3393340,129333.0,129333.0,1992,1,100,157.1,163.1,16.9,1.1,291.8,12659539.1,136397.4,7657804.7,2186188.3,1383.1,672.4,710.6,129333.0,,,288.7,40.622968,-74.078742,1.0,49.0,27.0,5553237.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3286,2704325,109896.0,116041.0,1927,1,100,62.3,68.2,3.5,0.0,94.1,185387.9,1876.6,1481639.4,421632.3,594.0,456.5,137.5,121950.0,3493.9,28.65,88.9,40.782421,-73.972622,7.0,6.0,165.0,5600083.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,2430725,182655.0,234219.0,1929,1,90,52.9,52.2,9.7,0.2,124.2,4127432.5,41274.3,8303239.1,2362540.2,1019.3,248.8,770.5,242550.0,1164.0,4.8,127.0,40.725136,-74.00443800000001,2.0,3.0,37.0,5251967.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10846,5737475,65400.0,76300.0,1942,1,100,66.8,69.9,3.0,0.6,95.1,4280121.9,45385.0,819556.0,232579.2,303.4,227.3,76.1,76300.0,5122.7,67.14,92.6,40.637833,-73.973045,12.0,39.0,490.0,10957814.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4280,2670505,113150.0,110150.0,1938,1,100,78.4,,5.7,,,2143161.2,,2209745.8,631994.4,636.4,431.4,205.1,110150.0,3384.9,30.73,122.7,40.776035,-73.96441800000001,8.0,4.0,142.0,5894753.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12974,2964670,137700.0,172590.0,1959,1,100,63.0,,3.4,0.5,,8370818.9,90168.0,2047751.5,579998.6,668.5,478.4,190.0,172590.0,7242.0,41.96,90.8,,,,,,5705067.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13244,4414693,63693.0,64520.0,1941,1,100,97.8,103.9,4.3,0.8,139.5,4981656.8,53792.8,945538.4,277121.4,381.0,293.2,87.7,64520.0,5605.4,86.88,133.0,,,,,,5355322.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
